environment,arm,window,metric,field,n_seed,seed_median,ci95_low,ci95_high
conda,LR_k1_X0Y0,primary400,reference,split_V,5,79.15752863546453,65.19019257005968,100.75651623731129
conda,LR_k1_X0Y0,primary400,reference,heldout_mape,5,0.2794685681633924,0.19229364608805288,0.34034428855123006
conda,LR_k1_X0Y0,primary400,reference,constant_split_mape,5,0.15503363846986493,0.14816666267825312,0.21160872751002327
conda,LR_k1_X0Y0,primary400,reference,late_n_transitions,5,80.0,80.0,80.0
conda,LR_k1_X0Y0,primary400,reference,late_endpoint_relative_change,5,0.08925964834932901,0.030282193795098247,0.13468188632687714
conda,LR_k1_X0Y0,primary400,reference,late_median_relative_increment,5,0.0010899562712198517,0.0005518104738574082,0.0016126279614170251
conda,LR_k1_X0Y0,primary400,reference,late_loglog_slope,5,0.40914583396958737,0.134358988842906,0.5605144068745467
conda,LR_k1_X0Y0,primary400,reference,late_halves_ratio,5,1.0489828457191117,1.017748432299654,1.0644163117229137
conda,LR_k1_X0Y0,primary400,reference,late_nearbalance,5,0.1337703075615054,-0.7031281917856191,0.782505839429157
conda,LR_k1_X0Y0,primary400,reference,late_activity,5,0.0985310921589726,0.07008425190438426,0.13600953964329968
conda,LR_k1_X0Y0,primary400,reference,late_zero_Q_count,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,primary400,reference,late_negative_c_fraction,5,0.475,0.2125,0.7625
conda,LR_k1_X0Y0,primary400,reference,window_endpoint,5,400.0,400.0,400.0
conda,LR_k1_X0Y0,primary400,reference,late_first_task,5,321.0,321.0,321.0
conda,LR_k1_X0Y0,primary400,reference,late_last_task,5,400.0,400.0,400.0
conda,LR_k1_X0Y0,primary400,reference,late_mean_V,5,104.77073776246675,82.24032166269225,131.21213484110754
conda,LR_k1_X0Y0,primary400,reference,late_mean_sigma,5,10.23478237567144,9.068478172514668,11.453067788292449
conda,LR_k1_X0Y0,primary400,reference,late_mean_sqrtQ,5,0.3580664625776214,0.3381915069021465,0.39778513125613346
conda,LR_k1_X0Y0,primary400,reference,late_sum_Q,5,10.320666149882612,9.195904311116216,12.74768396237185
conda,LR_k1_X0Y0,primary400,reference,late_sum_X,5,-0.8526308021716761,-4.376347126625924,3.2329497850543625
conda,LR_k1_X0Y0,primary400,reference,late_sum_G_pre,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,primary400,reference,late_sum_A_energy,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,primary400,reference,late_sum_E_energy,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,primary400,reference,late_sum_AE_cross,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,primary400,reference,late_sum_total_energy,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,primary400,reference,late_sum_mean_A_sq,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,primary400,reference,late_sum_mean_E_sq,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,primary400,reference,late_sum_centered_E_energy,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,primary400,reference,late_target_change_fraction,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,primary400,reference,late_target_change_energy,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,primary400,reference,late_learner_input_mean_shift_sq,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,primary400,reference,late_original_context_mean_shift_sq,5,1.0,1.0,1.0
conda,LR_k1_X0Y0,primary400,reference,late_task_start_mse,5,0.0003678693059718796,0.0003255963888705082,0.0008945433133021652
conda,LR_k1_X0Y0,primary400,reference,late_mse,5,0.000366135843812998,0.0003275402637171965,0.0008958353174648437
conda,LR_k1_X0Y0,primary400,reference,late_task_mse_gain,5,-1.2920041626784951e-06,-4.940580947732087e-06,1.7334621588815935e-06
conda,LR_k1_X0Y0,primary400,reference,late_task_start_acc,0,,,
conda,LR_k1_X0Y0,primary400,reference,late_train_acc,0,,,
conda,LR_k1_X0Y0,primary400,reference,late_task_accuracy_gain,0,,,
conda,LR_k1_X0Y0,primary400,reference,late_grad_w1_start_norm,0,,,
conda,LR_k1_X0Y0,primary400,reference,late_grad_w1_end_norm,0,,,
conda,LR_k1_X0Y0,primary400,reference,late_grad_w2_start_norm,0,,,
conda,LR_k1_X0Y0,primary400,reference,late_grad_w2_end_norm,0,,,
conda,LR_k1_X0Y0,primary400,reference,late_adaptive_alpha_median,0,,,
conda,LR_k1_X0Y0,primary400,reference,late_adaptive_alpha_clip_frac,0,,,
conda,LR_k1_X0Y0,primary400,reference,late_adaptive_alpha_median_l1,0,,,
conda,LR_k1_X0Y0,primary400,reference,late_adaptive_alpha_median_l2,0,,,
conda,LR_k1_X0Y0,primary400,reference,late_adaptive_alpha_clip_frac_l1,0,,,
conda,LR_k1_X0Y0,primary400,reference,late_adaptive_alpha_clip_frac_l2,0,,,
conda,LR_k1_X0Y0,primary400,reference,late_A_balance,0,,,
conda,LR_k1_X0Y0,primary400,reference,late_A_activity,0,,,
conda,LR_k1_X0Y0,primary400,reference,late_update_only_balance,0,,,
conda,LR_k1_X0Y0,primary400,reference,late_G_pre_over_Q,0,,,
conda,LR_k1_X0Y0,primary400,reference,late_abs_G_pre_over_Q,0,,,
conda,LR_k1_X0Y0,primary400,reference,late_update_negative_c_fraction,0,,,
conda,LR_k1_X0Y0,primary400,reference,low_response_onset_task,0,,,
conda,LR_k1_X0Y0,primary400,reference,active_window_first_task,0,,,
conda,LR_k1_X0Y0,primary400,reference,active_window_last_task,0,,,
conda,LR_k1_X0Y0,primary400,reference,active_window_balance,0,,,
conda,LR_k1_X0Y0,primary400,reference,active_window_activity,0,,,
conda,LR_k1_X0Y0,primary400,reference,active_window_loglog_slope,0,,,
conda,LR_k1_X0Y0,primary400,reference,raw_minus_reference_slope,5,-0.10106791088709316,-0.14062390991246232,-0.041276034530749336
conda,LR_k1_X0Y0,secondary100,actual,n_transitions,5,100.0,100.0,100.0
conda,LR_k1_X0Y0,secondary100,actual,calibration_first_task,5,6.0,6.0,6.0
conda,LR_k1_X0Y0,secondary100,actual,calibration_last_task,5,50.0,50.0,50.0
conda,LR_k1_X0Y0,secondary100,actual,heldout_first_task,5,51.0,51.0,51.0
conda,LR_k1_X0Y0,secondary100,actual,heldout_last_task,5,100.0,100.0,100.0
conda,LR_k1_X0Y0,secondary100,actual,qbar,5,0.21242416801050687,0.17300621886071427,0.279431956678943
conda,LR_k1_X0Y0,secondary100,actual,gamma,5,-0.0024202693425694538,-0.004536767424319747,-0.0016775725096793272
conda,LR_k1_X0Y0,secondary100,actual,split_V,5,39.746116287042526,34.04866019978716,48.09134424822787
conda,LR_k1_X0Y0,secondary100,actual,heldout_mape,5,0.052754030334743005,0.015206271786256297,0.16792353393174556
conda,LR_k1_X0Y0,secondary100,actual,constant_split_mape,5,0.18291472905347575,0.15130882492895353,0.18930253091357602
conda,LR_k1_X0Y0,secondary100,actual,late_n_transitions,5,20.0,20.0,20.0
conda,LR_k1_X0Y0,secondary100,actual,late_endpoint_relative_change,5,0.13940948873952633,0.12165055698797057,0.15328646657937053
conda,LR_k1_X0Y0,secondary100,actual,late_median_relative_increment,5,0.006947146297244851,0.006055397309244863,0.007117016503548114
conda,LR_k1_X0Y0,secondary100,actual,late_loglog_slope,5,0.5898667708379526,0.46738365764823675,0.6403924990274327
conda,LR_k1_X0Y0,secondary100,actual,late_halves_ratio,5,1.0682529250433386,1.0472843731852297,1.074326179749008
conda,LR_k1_X0Y0,secondary100,actual,late_nearbalance,5,-1.4755103080145047,-2.541206103190401,-1.0593136191359405
conda,LR_k1_X0Y0,secondary100,actual,late_activity,5,0.04692970495152969,0.03805433382692636,0.058236471351412925
conda,LR_k1_X0Y0,secondary100,actual,late_zero_Q_count,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,secondary100,actual,late_negative_c_fraction,5,0.05,0.0,0.15
conda,LR_k1_X0Y0,secondary100,actual,window_endpoint,5,100.0,100.0,100.0
conda,LR_k1_X0Y0,secondary100,actual,late_first_task,5,81.0,81.0,81.0
conda,LR_k1_X0Y0,secondary100,actual,late_last_task,5,100.0,100.0,100.0
conda,LR_k1_X0Y0,secondary100,actual,late_mean_V,5,50.85918398495842,45.59991985267309,65.61003537112576
conda,LR_k1_X0Y0,secondary100,actual,late_mean_sigma,5,7.1305475198521195,6.751538637893921,8.09826414275652
conda,LR_k1_X0Y0,secondary100,actual,late_mean_sqrtQ,5,0.34646973517717594,0.3414243226052703,0.39119994492994403
conda,LR_k1_X0Y0,secondary100,actual,late_sum_Q,5,2.4107602983304406,2.357970979660929,3.079059601826359
conda,LR_k1_X0Y0,secondary100,actual,late_sum_X,5,1.7706995003417139,1.426527189541599,3.1382395690784755
conda,LR_k1_X0Y0,secondary100,actual,late_sum_G_pre,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,secondary100,actual,late_sum_A_energy,5,23.82147063809135,15.324346422596573,36.21872332352332
conda,LR_k1_X0Y0,secondary100,actual,late_sum_E_energy,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,secondary100,actual,late_sum_AE_cross,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,secondary100,actual,late_sum_total_energy,5,23.82147063809135,15.324346422596573,36.21872332352332
conda,LR_k1_X0Y0,secondary100,actual,late_sum_mean_A_sq,5,21.128165909874625,12.913586124266132,33.139663721696955
conda,LR_k1_X0Y0,secondary100,actual,late_sum_mean_E_sq,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,secondary100,actual,late_sum_centered_E_energy,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,secondary100,actual,late_target_change_fraction,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,secondary100,actual,late_target_change_energy,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,secondary100,actual,late_learner_input_mean_shift_sq,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,secondary100,actual,late_original_context_mean_shift_sq,5,1.0,1.0,1.0
conda,LR_k1_X0Y0,secondary100,actual,late_task_start_mse,5,0.00040821534644237546,0.00023881933782377018,0.0012961506661667954
conda,LR_k1_X0Y0,secondary100,actual,late_mse,5,0.0004920685787965339,0.00020831050576362032,0.0013965574551548343
conda,LR_k1_X0Y0,secondary100,actual,late_task_mse_gain,5,-1.4129875125945546e-05,-0.0001004067889880389,3.0508832060149872e-05
conda,LR_k1_X0Y0,secondary100,actual,late_task_start_acc,0,,,
conda,LR_k1_X0Y0,secondary100,actual,late_train_acc,0,,,
conda,LR_k1_X0Y0,secondary100,actual,late_task_accuracy_gain,0,,,
conda,LR_k1_X0Y0,secondary100,actual,late_grad_w1_start_norm,0,,,
conda,LR_k1_X0Y0,secondary100,actual,late_grad_w1_end_norm,0,,,
conda,LR_k1_X0Y0,secondary100,actual,late_grad_w2_start_norm,0,,,
conda,LR_k1_X0Y0,secondary100,actual,late_grad_w2_end_norm,0,,,
conda,LR_k1_X0Y0,secondary100,actual,late_adaptive_alpha_median,0,,,
conda,LR_k1_X0Y0,secondary100,actual,late_adaptive_alpha_clip_frac,0,,,
conda,LR_k1_X0Y0,secondary100,actual,late_adaptive_alpha_median_l1,0,,,
conda,LR_k1_X0Y0,secondary100,actual,late_adaptive_alpha_median_l2,0,,,
conda,LR_k1_X0Y0,secondary100,actual,late_adaptive_alpha_clip_frac_l1,0,,,
conda,LR_k1_X0Y0,secondary100,actual,late_adaptive_alpha_clip_frac_l2,0,,,
conda,LR_k1_X0Y0,secondary100,actual,late_A_balance,5,-1.4755103080145047,-2.541206103190401,-1.0593136191359405
conda,LR_k1_X0Y0,secondary100,actual,late_A_activity,5,0.04692970495152969,0.03805433382692636,0.058236471351412925
conda,LR_k1_X0Y0,secondary100,actual,late_update_only_balance,5,-1.4755103080145047,-2.541206103190401,-1.0593136191359405
conda,LR_k1_X0Y0,secondary100,actual,late_G_pre_over_Q,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,secondary100,actual,late_abs_G_pre_over_Q,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,secondary100,actual,late_update_negative_c_fraction,5,0.05,0.0,0.15
conda,LR_k1_X0Y0,secondary100,actual,low_response_onset_task,0,,,
conda,LR_k1_X0Y0,secondary100,actual,active_window_first_task,0,,,
conda,LR_k1_X0Y0,secondary100,actual,active_window_last_task,0,,,
conda,LR_k1_X0Y0,secondary100,actual,active_window_balance,0,,,
conda,LR_k1_X0Y0,secondary100,actual,active_window_activity,0,,,
conda,LR_k1_X0Y0,secondary100,actual,active_window_loglog_slope,0,,,
conda,LR_k1_X0Y0,secondary100,actual,raw_minus_reference_slope,0,,,
conda,LR_k1_X0Y0,secondary100,raw,n_transitions,5,100.0,100.0,100.0
conda,LR_k1_X0Y0,secondary100,raw,calibration_first_task,5,6.0,6.0,6.0
conda,LR_k1_X0Y0,secondary100,raw,calibration_last_task,5,50.0,50.0,50.0
conda,LR_k1_X0Y0,secondary100,raw,heldout_first_task,5,51.0,51.0,51.0
conda,LR_k1_X0Y0,secondary100,raw,heldout_last_task,5,100.0,100.0,100.0
conda,LR_k1_X0Y0,secondary100,raw,qbar,5,0.9392176390210965,0.8024841849613545,1.2655341698313454
conda,LR_k1_X0Y0,secondary100,raw,gamma,5,-0.001048233636264637,-0.001875234640433562,-0.0005899701456309892
conda,LR_k1_X0Y0,secondary100,raw,split_V,5,306.17775279925644,278.0501082936443,331.95485530134806
conda,LR_k1_X0Y0,secondary100,raw,heldout_mape,5,0.018618591169871176,0.004709559004593518,0.0640121999238546
conda,LR_k1_X0Y0,secondary100,raw,constant_split_mape,5,0.1015610743988588,0.08639242557406336,0.11941749546532866
conda,LR_k1_X0Y0,secondary100,raw,late_n_transitions,5,20.0,20.0,20.0
conda,LR_k1_X0Y0,secondary100,raw,late_endpoint_relative_change,5,0.07947696269074418,0.07005222985842978,0.09886702780106262
conda,LR_k1_X0Y0,secondary100,raw,late_median_relative_increment,5,0.003904856202062993,0.003686311163274103,0.004563859106058431
conda,LR_k1_X0Y0,secondary100,raw,late_loglog_slope,5,0.34499640469113185,0.2660696920035471,0.42673324701237186
